"Name","Definition","Status","Related Terms","Synonyms","Acronym","Experts","Stewards","Resources","[Attribute][Business Glossary]Domain","[Attribute][Business Glossary]Equivalent Phrases","[Attribute][Business Glossary]System-Table-Field"
"PROMISE TO PAY","When a customer is contacted by a collector regarding a specific invoice and the customer shares an update on the payment status","Approved","","","","","Charlie.Crews@hanes.com:Charlie Crews - Director, Enterprise Data & Governance;","","General","",""
"Production/inspection memo","Number under which you have stored a production or inspection memo for the material. This field is purely for information.
IF NEEDED, AFS Number for Master Grid.  Currently not part of loads.","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Material-Product","","MDG-MARA-FERTH"
"Std Product Weight (APS)","The standard product weight is required for all skus.  The standard product weight should be maintained at the sku level for all skus except for garment skus.   Standard product weight for garment skus should be maintained at the sku revision level.  The standard product weight on the sku revision level will overwrite what is entered on the sku level. ","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Material-Product","","APS-SKU-STD_PRODUCT_WEIGHT"
"Sales area (floor space) unit","Unit of area for the sales area.","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Site","","MDG-WRF1-VERFE"
"Corp Business Unit Group  Code (APS)","The corporate business unit is the business unit that is associated with ""owning"" division.  This is a display field only and will be derived from the corporate division.  Please see chart in the style section of this manual. 
","Approved","","","","","Cassandra.Martin@hanes.com:Cassandra Martin - Finance Domain Lead;","","Finance","","APS-CORP_BUSINESS_UNIT-CORP_BUSINESS_UNIT_GRP_CD"
"Describe Remittance is sent","Text field in Lawson to describe how remittance is sen","Approved","","","","","Rachel.Merrill@hanes.com:Rachel Merrill-Product Data Domain Lead;","","Supplier","","MDG-LFA1-ZZUSERNAME4"
"City (AFS)","City as part of the address.","Draft","","City;","","Paola.Marsal@hanes.com: Sr. Mgr Customer Service;","Kimberly.Beardsley@hanes.com:Kim Beardsley-Customer Domain Lead;","","Customer","City","AFS-KNA1-ORT01"
"Contract Indicator (APS)","Indicator If Plant Is A Contract Plant","Approved","","","","","Catherine.Brown@hanes.com:Cathy Brown;","","Site","","APS-PLANT-CONTRACT IND"
"Reconciliation Account In General Ledger (AFS)","the reconciliation account in G/L accounting is the account which is updated parallel to the subledger account for normal postings (for example, invoice or payment). for special postings (for example, down payment or bill of exchange), this account is replaced by another account (for example, 'down payments received' instead of 'receivables'). the replacement takes place due to the special G/L indicator which you must specify for these types of postings.","Approved","","","","Teresa.Fisher@hanes.com: Sr Mgr Global Transacton Services;","Kimberly.Beardsley@hanes.com:Kim Beardsley-Customer Domain Lead;","","Customer","Down Payment, Bill of exchange, GL, Recon Acct","AFS-KNB1-AKONT"
"Previous Master Record Number (AFS Number)","AFS cross reference number.","Approved","","","","Teresa.Fisher@hanes.com: Sr Mgr Global Transacton Services;","Kimberly.Beardsley@hanes.com:Kim Beardsley-Customer Domain Lead;","","Customer","","MDG-KNB1-ALTKN"
